NP_RLSE_YMD,MD_재고비용,MD_하역비,MD_결품기회비용,MD_총비용,ML_재고비용,ML_하역비,ML_결품기회비용,ML_총비용,절감액(MD-ML),MD_재고비용_누적,MD_하역비_누적,MD_결품기회비용_누적,MD_총비용_누적,ML_재고비용_누적,ML_하역비_누적,ML_결품기회비용_누적,ML_총비용_누적,절감액(MD-ML)_누적
2025-01-08,3411641.124931507,1773000.0,227500.0000000001,5412141.124931507,4895279.022270059,2152350.0,1839036.0000000002,8886665.02227006,-3474523.8973385524,3411641.124931507,1773000.0,227500.0000000001,5412141.124931507,4895279.022270059,2152350.0,1839036.0000000002,8886665.02227006,-3474523.8973385524
2025-01-09,9480866.250567514,549720.0,132391.99999999997,10162978.250567514,2493613.5306066535,324090.0,6958105.0,9775808.530606654,387169.7199608609,12892507.375499021,2322720.0,359892.00000000006,15575119.375499021,7388892.552876713,2476440.0,8797141.0,18662473.55287671,-3087354.1773776915
2025-01-15,3841169.4093150687,536310.0,96479.99999999994,4473959.409315068,3220369.6024657534,529830.0,730000.0,4480199.602465753,-6240.193150685169,16733676.78481409,2859030.0,456372.0,20049078.78481409,10609262.155342467,3006270.0,9527141.0,23142673.155342463,-3093594.3705283767
2025-01-22,2169334.925479452,716130.0,29520.00000000007,2914984.925479452,2321197.450410959,763560.0,52325.0,3137082.450410959,-222097.52493150672,18903011.710293543,3575160.0,485892.00000000006,22964063.710293543,12930459.605753426,3769830.0,9579466.0,26279755.60575342,-3315691.8954598834
2025-01-23,4513782.942465753,328230.0,0.0,4842012.942465753,684442.404774951,128160.0,1250525.9999999998,2063128.4047749508,2778884.5376908025,23416794.652759295,3903390.0,485892.00000000006,27806076.652759295,13614902.010528376,3897990.0,10829992.0,28342884.01052837,-536807.3577690809
2025-01-27,321028.697925636,115110.0,4162355.999999997,4598494.697925633,742586.5473972603,172350.0,0.0,914936.5473972603,3683558.1505283723,23737823.35068493,4018500.0,4648247.999999997,32404571.350684926,14357488.557925636,4070340.0,10829992.0,29257820.55792563,3146750.7927592914
2025-01-30,937672.2136986301,225990.0,0.0,1163662.2136986302,374818.3880234834,120600.0,6119352.0,6614770.388023484,-5451108.174324853,24675495.56438356,4244490.0,4648247.999999997,33568233.56438356,14732306.945949119,4190940.0,16949344.0,35872590.945949115,-2304357.381565562
2025-02-03,124632.45119373777,18180.0,4657954.0,4800766.451193738,332556.40438356163,45540.0,1319944.0,1698040.4043835616,3102726.046810176,24800128.015577298,4262670.0,9306201.999999996,38369000.015577294,15064863.350332681,4236480.0,18269288.0,37570631.35033268,798368.6652446142
2025-02-05,1655057.8602739726,472500.0,2478348.0,4605905.860273972,1796493.2819960862,482490.0,359778.00000000006,2638761.2819960862,1967144.578277886,26455185.87585127,4735170.0,11784549.999999996,42974905.875851266,16861356.632328767,4718970.0,18629066.0,40209392.63232876,2765513.2435225
2025-02-12,7100227.07520548,2699460.0,58435.00000000006,9858122.075205479,4905871.37776908,2301930.0,1575514.0000000002,8783315.37776908,1074806.697436398,33555412.95105675,7434630.0,11842984.999999996,52833027.95105675,21767228.010097846,7020900.0,20204580.0,48992708.01009785,3840319.940958898
